iteration,strategy,rl_model,data_group,portfolio_values
2,baseline,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99840.905318
2022-01-05     98774.129565
2022-01-06     98127.785180
2022-01-07     98159.457543
                  ...      
2023-12-22     92137.774295
2023-12-26     92245.471564
2023-12-27     92229.044709
2023-12-28     92271.310005
2023-12-29     92096.053745
Length: 501, dtype: float64"
2,baseline,A2C,Group1,"2022-01-03    100000.000000
2022-01-04    100172.026185
2022-01-05     99684.413575
2022-01-06     99738.781148
2022-01-07     99900.820246
                  ...      
2023-12-22     79399.173650
2023-12-26     79873.993985
2023-12-27     79944.214706
2023-12-28     80083.413145
2023-12-29     80017.292719
Length: 501, dtype: float64"
2,baseline,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99789.447340
2022-01-05     99020.900945
2022-01-06     98646.585354
2022-01-07     98477.305497
                  ...      
2023-12-22     93204.797678
2023-12-26     93232.474145
2023-12-27     93254.527367
2023-12-28     93132.182377
2023-12-29     93075.174974
Length: 501, dtype: float64"
2,baseline,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04    100122.572160
2022-01-05     99433.794492
2022-01-06     99651.205052
2022-01-07     99831.726197
                  ...      
2023-12-22     93046.101165
2023-12-26     93548.522916
2023-12-27     93674.283757
2023-12-28     93884.123895
2023-12-29     93830.234359
Length: 501, dtype: float64"
2,baseline,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99790.952013
2022-01-05     99107.154410
2022-01-06     98855.441958
2022-01-07     98972.011104
                  ...      
2023-12-22    112480.648815
2023-12-26    112611.124966
2023-12-27    112710.614494
2023-12-28    112734.072469
2023-12-29    112629.190406
Length: 501, dtype: float64"
2,naive,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99622.094659
2022-01-05     99160.780820
2022-01-06     99442.872058
2022-01-07     99486.563599
                  ...      
2023-12-22     75814.048137
2023-12-26     76204.805045
2023-12-27     76199.378864
2023-12-28     76313.914683
2023-12-29     76293.579922
Length: 501, dtype: float64"
2,naive,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99793.518563
2022-01-05     97833.615274
2022-01-06     97152.062824
2022-01-07     96994.007431
                  ...      
2023-12-22     89226.558074
2023-12-26     89324.730729
2023-12-27     89364.585979
2023-12-28     89378.473690
2023-12-29     89222.516122
Length: 501, dtype: float64"
2,naive,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99860.250357
2022-01-05     99336.778469
2022-01-06     99584.243625
2022-01-07     99427.947566
                  ...      
2023-12-22     78902.017513
2023-12-26     79304.697891
2023-12-27     79362.744561
2023-12-28     79500.624122
2023-12-29     79510.112892
Length: 501, dtype: float64"
2,naive,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99270.853575
2022-01-05     97938.726219
2022-01-06     97097.303618
2022-01-07     96853.380447
                  ...      
2023-12-22     98491.542500
2023-12-26     98571.621712
2023-12-27     98588.866528
2023-12-28     98596.762299
2023-12-29     98525.547030
Length: 501, dtype: float64"
2,naive,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04    100122.572160
2022-01-05     99433.794492
2022-01-06     99651.205052
2022-01-07     99831.726197
                  ...      
2023-12-22     93046.101165
2023-12-26     93548.522916
2023-12-27     93674.283757
2023-12-28     93884.123895
2023-12-29     93830.234359
Length: 501, dtype: float64"
2,naive,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99790.952013
2022-01-05     99107.154410
2022-01-06     98855.441958
2022-01-07     98972.011104
                  ...      
2023-12-22    112480.648815
2023-12-26    112611.124966
2023-12-27    112710.614494
2023-12-28    112734.072469
2023-12-29    112629.190406
Length: 501, dtype: float64"
2,ewc,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99456.279372
2022-01-05     98644.559854
2022-01-06     98604.375396
2022-01-07     98762.899403
                  ...      
2023-12-22     72992.722873
2023-12-26     73571.693977
2023-12-27     73586.965354
2023-12-28     73664.018835
2023-12-29     73547.869015
Length: 501, dtype: float64"
2,ewc,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99915.250695
2022-01-05     98518.235793
2022-01-06     98146.816202
2022-01-07     97721.737865
                  ...      
2023-12-22     87106.034132
2023-12-26     87199.638453
2023-12-27     87157.505513
2023-12-28     87115.865901
2023-12-29     87032.874851
Length: 501, dtype: float64"
2,ewc,A2C,Group1,"2022-01-03    100000.000000
2022-01-04    100084.911399
2022-01-05     99650.426285
2022-01-06     99669.999360
2022-01-07     99844.254157
                  ...      
2023-12-22     87785.514716
2023-12-26     88223.921173
2023-12-27     88329.090363
2023-12-28     88512.981726
2023-12-29     88441.678407
Length: 501, dtype: float64"
2,ewc,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99771.492534
2022-01-05     98203.289609
2022-01-06     97484.578425
2022-01-07     97031.146451
                  ...      
2023-12-22    109514.654408
2023-12-26    109569.868958
2023-12-27    109547.739430
2023-12-28    109586.504037
2023-12-29    109420.421179
Length: 501, dtype: float64"
2,ewc,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04    100122.572160
2022-01-05     99433.794492
2022-01-06     99651.205052
2022-01-07     99831.726197
                  ...      
2023-12-22     93046.101165
2023-12-26     93548.522916
2023-12-27     93674.283757
2023-12-28     93884.123895
2023-12-29     93830.234359
Length: 501, dtype: float64"
2,ewc,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99790.952013
2022-01-05     99107.154410
2022-01-06     98855.441958
2022-01-07     98972.011104
                  ...      
2023-12-22    112480.648815
2023-12-26    112611.124966
2023-12-27    112710.614494
2023-12-28    112734.072469
2023-12-29    112629.190406
Length: 501, dtype: float64"
