iteration,strategy,rl_model,data_group,portfolio_values
101,naive,PPO,Group2,"2022-01-03    100000.000000
2022-01-04    100080.633501
2022-01-05    100214.493595
2022-01-06    100553.762213
2022-01-07    100599.073390
                  ...      
2023-12-22     83832.011713
2023-12-26     84216.218262
2023-12-27     84336.197006
2023-12-28     84364.810462
2023-12-29     84140.952276
Length: 501, dtype: float64"
101,naive,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99939.262378
2022-01-05     98167.837277
2022-01-06     97721.654033
2022-01-07     97493.048816
                  ...      
2023-12-22     93333.725620
2023-12-26     93500.523920
2023-12-27     93466.729852
2023-12-28     93627.609400
2023-12-29     93586.231304
Length: 501, dtype: float64"
101,naive,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99460.475492
2022-01-05     98458.157292
2022-01-06     99099.733616
2022-01-07     99382.064970
                  ...      
2023-12-22     91613.040046
2023-12-26     92025.032572
2023-12-27     92175.421250
2023-12-28     92125.867415
2023-12-29     91942.422596
Length: 501, dtype: float64"
101,naive,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04     99864.143939
2022-01-05     98510.468431
2022-01-06     97832.743505
2022-01-07     97465.038061
                  ...      
2023-12-22     98968.318727
2023-12-26     99150.582888
2023-12-27     99119.404377
2023-12-28     99229.557036
2023-12-29     99307.869857
Length: 501, dtype: float64"
101,naive,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99567.203768
2022-01-05     99090.876988
2022-01-06     99467.295821
2022-01-07     99720.648391
                  ...      
2023-12-22    100581.584488
2023-12-26    101363.017207
2023-12-27    101542.359321
2023-12-28    101583.303234
2023-12-29    101414.835974
Length: 501, dtype: float64"
101,ewc,PPO,Group1,"2022-01-03    100000.000000
2022-01-04    100070.998031
2022-01-05     98687.026139
2022-01-06     98137.364473
2022-01-07     97846.619314
                  ...      
2023-12-22     82583.577555
2023-12-26     82726.068017
2023-12-27     82717.108387
2023-12-28     82878.439919
2023-12-29     82933.440738
Length: 501, dtype: float64"
101,ewc,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99769.296231
2022-01-05     98895.897710
2022-01-06     99106.731846
2022-01-07     99452.988809
                  ...      
2023-12-22     86475.896396
2023-12-26     86805.832694
2023-12-27     86905.871159
2023-12-28     86897.617232
2023-12-29     86718.394049
Length: 501, dtype: float64"
101,ewc,A2C,Group1,"2022-01-03    100000.000000
2022-01-04    100117.495224
2022-01-05     98868.041886
2022-01-06     98236.408942
2022-01-07     97906.074169
                  ...      
2023-12-22     88424.850657
2023-12-26     88568.150729
2023-12-27     88552.512163
2023-12-28     88668.299736
2023-12-29     88641.773442
Length: 501, dtype: float64"
101,ewc,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99570.674617
2022-01-05     98964.829681
2022-01-06     99109.215279
2022-01-07     99352.624154
                  ...      
2023-12-22     93169.606879
2023-12-26     93850.798248
2023-12-27     93959.626512
2023-12-28     93972.192457
2023-12-29     93778.262470
Length: 501, dtype: float64"
101,ewc,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04     99864.143939
2022-01-05     98510.468431
2022-01-06     97832.743505
2022-01-07     97465.038061
                  ...      
2023-12-22     98968.318727
2023-12-26     99150.582888
2023-12-27     99119.404377
2023-12-28     99229.557036
2023-12-29     99307.869857
Length: 501, dtype: float64"
